session_id,start_time,end_time,energy_kwh,duration_minutes,cost_inr,vehicle_type
SES_39223,2024-05-25 00:12:00,2024-05-25 01:36:54,9.56,84.9,152.79,3W
SES_57283,2024-12-03 19:38:00,2024-12-03 20:24:06,40.79,46.1,627.46,4W
SES_60544,2024-02-29 00:17:00,2024-02-29 01:00:07,2.07,43.1,33.24,2W
SES_53871,2024-09-20 20:39:00,2024-09-20 21:18:24,3.37,39.4,53.51,2W
SES_25409,2024-05-15 09:42:00,2024-05-15 10:24:20,5.72,42.3,93.29,3W
SES_87941,2024-02-18 10:08:00,2024-02-18 10:49:50,6.13,41.8,94.04,3W
SES_17678,2024-12-24 22:52:00,2024-12-25 00:36:56,33.2,104.9,578.79,4W
SES_96483,2024-08-10 09:15:00,2024-08-10 10:41:30,2.86,86.5,47.42,2W
SES_49236,2024-04-08 10:06:00,2024-04-08 11:02:16,6.6,56.3,98.96,3W
SES_31461,2024-03-12 23:32:00,2024-03-13 01:11:48,52.88,99.8,817.93,4W
SES_47691,2024-09-08 10:29:00,2024-09-08 11:44:44,5.11,75.7,84.69,3W
SES_52757,2024-01-23 23:02:00,2024-01-24 00:05:41,7.76,63.7,133.98,3W
SES_69090,2024-06-11 08:02:00,2024-06-11 09:24:18,5.16,82.3,87.98,3W
SES_24083,2024-03-07 19:38:00,2024-03-07 20:42:00,7.61,64.0,114.97,3W
SES_33046,2024-10-24 20:14:00,2024-10-24 20:45:03,2.31,31.1,35.61,2W
SES_50155,2024-12-14 18:31:00,2024-12-14 19:20:34,7.14,49.6,124.96,3W
SES_43218,2024-04-03 13:08:00,2024-04-03 14:34:13,8.22,86.2,138.03,3W
SES_67322,2024-02-01 08:32:00,2024-02-01 09:36:46,44.18,64.8,749.49,4W
SES_59675,2024-06-11 18:06:00,2024-06-11 19:09:08,6.0,63.1,104.23,3W
SES_57388,2024-06-15 16:03:00,2024-06-15 17:34:34,2.14,91.6,32.98,2W
SES_28639,2024-12-21 22:47:00,2024-12-21 23:24:51,3.32,37.9,57.55,2W
SES_36031,2024-01-28 02:33:00,2024-01-28 04:53:43,38.45,140.7,656.43,4W
SES_58122,2024-06-22 05:17:00,2024-06-22 06:25:55,21.2,68.9,335.61,4W
SES_51081,2024-05-31 14:32:00,2024-05-31 15:39:10,6.2,67.2,102.71,3W
SES_78094,2024-06-25 18:13:00,2024-06-25 19:30:04,6.83,77.1,114.78,3W
SES_28102,2024-01-17 14:08:00,2024-01-17 15:12:57,8.59,65.0,149.04,3W
SES_93483,2024-08-18 14:11:00,2024-08-18 15:51:53,29.62,100.9,517.57,4W
SES_22212,2024-02-14 11:32:00,2024-02-14 12:48:30,35.36,76.5,597.74,4W
SES_64514,2024-01-29 02:07:00,2024-01-29 03:30:15,1.53,83.3,24.47,2W
SES_82784,2024-12-10 19:55:00,2024-12-10 20:33:06,2.96,38.1,49.09,2W
SES_14606,2024-08-23 19:37:00,2024-08-23 20:45:46,8.06,68.8,133.07,3W
SES_84323,2024-02-10 16:37:00,2024-02-10 17:27:21,9.89,50.4,161.97,3W
SES_25166,2024-08-22 12:03:00,2024-08-22 13:10:52,8.84,67.9,144.62,3W
SES_63933,2024-02-03 17:43:00,2024-02-03 19:51:22,50.93,128.4,894.77,4W
SES_94639,2024-10-13 19:56:00,2024-10-13 21:35:20,35.44,99.3,546.13,4W
SES_82757,2024-12-14 21:11:00,2024-12-14 23:26:03,41.82,135.1,659.4,4W
SES_26454,2024-09-07 09:54:00,2024-09-07 12:50:02,31.24,176.0,560.96,4W
SES_70760,2024-02-27 05:52:00,2024-02-27 06:40:11,26.63,48.2,456.57,4W
SES_90536,2024-09-08 07:50:00,2024-09-08 08:52:14,8.64,62.2,142.77,3W
SES_17852,2024-08-14 18:31:00,2024-08-14 19:50:53,1.83,79.9,32.8,2W
SES_25965,2024-12-10 18:55:00,2024-12-10 20:26:55,30.42,91.9,477.02,4W
SES_45165,2024-03-14 09:29:00,2024-03-14 11:17:08,1.68,108.1,28.14,2W
SES_30593,2024-07-19 10:06:00,2024-07-19 12:24:06,27.97,138.1,477.59,4W
SES_64692,2024-01-12 21:36:00,2024-01-12 23:10:06,33.07,94.1,544.07,4W
SES_81521,2024-12-14 20:22:00,2024-12-14 21:32:35,2.28,70.6,36.02,2W
SES_59175,2024-04-28 17:41:00,2024-04-28 19:31:03,49.05,110.1,831.58,4W
SES_67340,2024-02-02 16:30:00,2024-02-02 17:18:23,3.22,48.4,54.29,2W
SES_50339,2024-12-15 08:23:00,2024-12-15 11:05:14,32.23,162.2,513.95,4W
SES_77610,2024-10-16 18:54:00,2024-10-16 21:30:11,34.49,156.2,588.36,4W
SES_57617,2024-08-28 19:19:00,2024-08-28 20:10:35,6.78,51.6,115.31,3W
SES_95931,2024-02-11 10:37:00,2024-02-11 11:36:10,6.14,59.2,108.34,3W
SES_84665,2024-02-04 04:51:00,2024-02-04 05:44:37,7.41,53.6,116.6,3W
SES_28495,2024-06-22 19:39:00,2024-06-22 20:36:38,2.31,57.6,35.11,2W
SES_11191,2024-07-01 13:46:00,2024-07-01 15:26:39,2.79,100.7,43.95,2W
SES_94413,2024-03-11 07:27:00,2024-03-11 09:43:16,40.43,136.3,708.65,4W
SES_63586,2024-11-02 09:17:00,2024-11-02 10:01:49,8.75,44.8,137.7,3W
SES_60001,2024-04-20 20:27:00,2024-04-20 22:18:39,2.45,111.7,40.88,2W
SES_70697,2024-11-05 09:24:00,2024-11-05 10:31:06,2.35,67.1,37.26,2W
SES_75080,2024-02-27 01:10:00,2024-02-27 02:56:15,1.63,106.3,27.21,2W
SES_10164,2024-06-09 19:08:00,2024-06-09 20:23:40,8.32,75.7,142.35,3W
SES_54688,2024-08-15 23:33:00,2024-08-16 01:08:29,1.5,95.5,23.07,2W
SES_65936,2024-09-20 14:13:00,2024-09-20 14:55:43,5.13,42.7,78.5,3W
SES_18143,2024-11-17 14:13:00,2024-11-17 16:10:45,50.6,117.8,787.58,4W
SES_67424,2024-09-04 10:58:00,2024-09-04 12:09:15,7.42,71.3,120.67,3W
SES_20342,2024-04-10 07:50:00,2024-04-10 09:06:45,9.73,76.8,147.32,3W
SES_74770,2024-02-15 18:55:00,2024-02-15 19:51:24,2.06,56.4,32.8,2W
SES_50738,2024-08-22 21:31:00,2024-08-22 22:19:51,5.49,48.9,92.71,3W
SES_40300,2024-05-10 09:29:00,2024-05-10 10:14:15,2.53,45.3,41.75,2W
SES_53594,2024-10-30 16:13:00,2024-10-30 17:42:54,2.0,89.9,30.99,2W
SES_62970,2024-10-29 21:39:00,2024-10-29 22:46:44,7.24,67.7,109.82,3W
SES_89007,2024-05-02 16:44:00,2024-05-02 18:31:47,3.24,107.8,57.49,2W
SES_71851,2024-01-16 01:15:00,2024-01-16 03:05:38,37.05,110.6,574.07,4W
SES_42425,2024-09-10 17:55:00,2024-09-10 20:37:58,50.24,163.0,880.57,4W
SES_31806,2024-07-06 12:17:00,2024-07-06 13:53:37,31.3,96.6,518.71,4W
SES_13452,2024-07-24 02:07:00,2024-07-24 03:22:39,6.79,75.7,118.04,3W
SES_90947,2024-02-05 08:36:00,2024-02-05 09:19:16,8.66,43.3,135.71,3W
SES_28620,2024-07-13 22:21:00,2024-07-14 00:13:50,3.47,112.8,61.0,2W
SES_74363,2024-06-27 18:53:00,2024-06-27 20:11:22,6.94,78.4,107.44,3W
SES_30276,2024-10-15 17:29:00,2024-10-15 18:52:12,3.4,83.2,59.55,2W
SES_77982,2024-01-26 11:04:00,2024-01-26 12:00:26,3.01,56.4,45.59,2W
SES_97294,2024-05-20 19:39:00,2024-05-20 21:02:05,7.39,83.1,116.88,3W
SES_25279,2024-11-02 10:18:00,2024-11-02 11:06:02,2.75,48.0,44.36,2W
SES_60498,2024-03-28 19:32:00,2024-03-28 20:21:45,8.79,49.8,151.46,3W
SES_67017,2024-11-16 17:00:00,2024-11-16 18:10:22,7.39,70.4,130.21,3W
SES_59396,2024-04-10 13:11:00,2024-04-10 15:16:02,34.83,125.0,607.78,4W
SES_72248,2024-06-10 15:29:00,2024-06-10 16:28:04,42.9,59.1,688.2,4W
SES_14265,2024-06-05 14:23:00,2024-06-05 16:13:10,47.51,110.2,841.16,4W
SES_13877,2024-01-11 10:05:00,2024-01-11 11:22:33,1.62,77.6,27.46,2W
SES_35716,2024-07-17 23:56:00,2024-07-18 00:39:38,2.61,43.6,42.51,2W
SES_97216,2024-10-12 11:51:00,2024-10-12 13:02:06,9.09,71.1,140.45,3W
SES_92533,2024-06-03 06:09:00,2024-06-03 08:19:29,42.95,130.5,743.06,4W
SES_94261,2024-06-10 15:04:00,2024-06-10 16:43:56,2.5,99.9,40.16,2W
SES_91110,2024-06-12 16:53:00,2024-06-12 18:10:16,6.64,77.3,108.14,3W
SES_76269,2024-01-07 06:12:00,2024-01-07 07:26:05,8.72,74.1,146.57,3W
SES_53278,2024-02-01 15:53:00,2024-02-01 17:17:08,43.8,84.1,710.53,4W
SES_62644,2024-01-17 12:07:00,2024-01-17 14:01:01,46.39,114.0,815.89,4W
SES_82806,2024-05-06 20:00:00,2024-05-06 20:31:35,2.54,31.6,43.36,2W
SES_64853,2024-06-08 05:23:00,2024-06-08 08:17:14,21.25,174.2,354.7,4W
SES_37347,2024-11-08 12:00:00,2024-11-08 13:08:44,7.27,68.7,110.35,3W
SES_18892,2024-12-31 21:12:00,2024-12-31 22:15:18,51.49,63.3,821.49,4W
SES_40556,2024-07-07 20:29:00,2024-07-07 21:46:29,44.69,77.5,703.46,4W
SES_21635,2024-04-08 23:37:00,2024-04-09 00:20:01,1.55,43.0,27.77,2W
SES_31050,2024-07-11 15:18:00,2024-07-11 16:27:15,44.02,69.3,732.84,4W
SES_33670,2024-03-20 21:47:00,2024-03-20 22:59:59,6.49,73.0,102.72,3W
SES_45290,2024-12-12 16:12:00,2024-12-12 18:54:41,23.96,162.7,416.47,4W
SES_30278,2024-05-07 19:42:00,2024-05-07 20:57:42,9.62,75.7,171.43,3W
SES_62005,2024-05-30 18:01:00,2024-05-30 18:43:00,7.79,42.0,128.55,3W
SES_83980,2024-02-11 18:19:00,2024-02-11 18:59:31,8.82,40.5,158.34,3W
SES_81036,2024-12-11 16:32:00,2024-12-11 17:35:51,5.62,63.9,99.24,3W
SES_77667,2024-08-10 22:57:00,2024-08-11 01:14:27,55.04,137.5,896.89,4W
SES_54979,2024-05-19 07:48:00,2024-05-19 10:18:37,37.1,150.6,630.35,4W
SES_71143,2024-02-11 05:25:00,2024-02-11 06:51:02,1.92,86.0,31.34,2W
SES_64861,2024-10-21 19:24:00,2024-10-21 20:21:48,2.42,57.8,39.48,2W
SES_59280,2024-05-20 19:25:00,2024-05-20 20:19:20,5.8,54.3,101.01,3W
SES_21748,2024-12-08 12:52:00,2024-12-08 13:54:04,9.44,62.1,151.55,3W
SES_25280,2024-05-31 12:50:00,2024-05-31 13:41:45,5.11,51.8,91.05,3W
SES_65630,2024-01-11 22:54:00,2024-01-11 23:44:12,53.68,50.2,947.35,4W
SES_14322,2024-04-25 17:47:00,2024-04-25 19:35:44,30.62,108.7,493.65,4W
SES_98347,2024-08-06 13:38:00,2024-08-06 15:08:01,1.91,90.0,34.25,2W
SES_22787,2024-08-02 22:16:00,2024-08-03 00:01:23,47.32,105.4,763.04,4W
SES_10144,2024-10-20 08:17:00,2024-10-20 09:52:46,42.04,95.8,723.57,4W
SES_52871,2024-07-20 18:02:00,2024-07-20 19:15:57,22.5,74.0,393.67,4W
SES_52306,2024-02-04 13:47:00,2024-02-04 14:28:29,2.72,41.5,46.98,2W
SES_78226,2024-07-31 15:58:00,2024-07-31 17:18:01,25.15,80.0,410.62,4W
SES_82156,2024-07-24 22:18:00,2024-07-24 23:07:41,8.11,49.7,140.91,3W
SES_30895,2024-06-02 18:09:00,2024-06-02 19:19:05,6.87,70.1,117.11,3W
SES_50644,2024-01-05 05:22:00,2024-01-05 08:13:17,25.21,171.3,422.64,4W
SES_98372,2024-07-11 16:45:00,2024-07-11 17:47:30,5.86,62.5,97.46,3W
SES_89669,2024-05-21 06:37:00,2024-05-21 07:58:21,2.61,81.4,43.45,2W
SES_49648,2024-11-17 10:30:00,2024-11-17 11:36:46,2.03,66.8,32.61,2W
SES_62972,2024-08-20 21:57:00,2024-08-20 23:14:56,3.42,77.9,55.78,2W
SES_96239,2024-12-25 18:07:00,2024-12-25 19:14:21,6.42,67.4,101.17,3W
SES_94061,2024-10-02 06:54:00,2024-10-02 09:22:31,46.73,148.5,772.26,4W
SES_23334,2024-05-24 19:48:00,2024-05-24 20:46:06,8.03,58.1,126.03,3W
SES_14208,2024-11-12 10:22:00,2024-11-12 11:14:30,2.52,52.5,40.34,2W
SES_39652,2024-09-10 11:02:00,2024-09-10 11:47:04,5.14,45.1,88.39,3W
SES_85264,2024-03-23 20:10:00,2024-03-23 21:01:10,2.04,51.2,33.51,2W
SES_63212,2024-05-18 13:31:00,2024-05-18 14:45:49,2.46,74.8,38.57,2W
SES_33554,2024-08-08 21:10:00,2024-08-08 22:26:28,8.65,76.5,135.01,3W
SES_80340,2024-02-25 17:46:00,2024-02-25 18:24:20,2.28,38.3,37.92,2W
SES_37306,2024-04-10 23:38:00,2024-04-11 00:45:59,2.29,68.0,40.43,2W
SES_86473,2024-10-03 06:50:00,2024-10-03 07:52:36,8.39,62.6,136.54,3W
SES_88445,2024-10-22 20:56:00,2024-10-22 22:50:01,1.93,114.0,29.97,2W
SES_65372,2024-11-18 11:01:00,2024-11-18 13:09:39,35.02,128.7,547.5,4W
SES_30228,2024-09-26 16:42:00,2024-09-26 18:37:21,42.12,115.4,728.01,4W
SES_53739,2024-06-05 17:17:00,2024-06-05 18:03:34,7.71,46.6,120.11,3W
SES_94621,2024-05-26 18:32:00,2024-05-26 21:01:31,20.74,149.5,352.63,4W
SES_89437,2024-09-02 11:39:00,2024-09-02 12:41:54,2.33,62.9,38.63,2W
SES_75544,2024-10-07 15:28:00,2024-10-07 16:49:57,8.0,82.0,126.77,3W
SES_16394,2024-06-09 19:42:00,2024-06-09 20:39:10,58.36,57.2,926.15,4W
SES_96686,2024-05-12 13:05:00,2024-05-12 14:44:33,29.48,99.6,485.25,4W
SES_66912,2024-09-08 21:15:00,2024-09-08 22:53:01,20.61,98.0,335.73,4W
SES_11991,2024-01-23 01:12:00,2024-01-23 02:28:48,5.32,76.8,88.89,3W
SES_71098,2024-10-14 02:36:00,2024-10-14 03:55:10,57.72,79.2,967.17,4W
SES_20475,2024-06-08 16:26:00,2024-06-08 18:36:28,47.11,130.5,745.13,4W
SES_42351,2024-09-10 22:46:00,2024-09-11 00:32:01,28.62,106.0,502.04,4W
SES_73128,2024-11-06 04:05:00,2024-11-06 06:13:35,46.76,128.6,808.85,4W
SES_74743,2024-05-08 05:41:00,2024-05-08 07:31:02,37.06,110.0,557.03,4W
SES_62303,2024-01-26 15:26:00,2024-01-26 17:26:12,24.49,120.2,419.09,4W
SES_65086,2024-06-26 16:35:00,2024-06-26 17:36:32,55.89,61.5,900.62,4W
SES_51272,2024-07-13 07:14:00,2024-07-13 08:34:32,6.08,80.5,105.7,3W
SES_87807,2024-08-11 11:34:00,2024-08-11 14:28:31,27.71,174.5,431.98,4W
SES_58810,2024-10-24 15:12:00,2024-10-24 16:21:58,8.48,70.0,151.98,3W
SES_63970,2024-10-20 21:50:00,2024-10-20 22:33:36,9.16,43.6,161.74,3W
SES_59679,2024-04-24 22:16:00,2024-04-25 00:54:56,46.81,158.9,807.6,4W
SES_59530,2024-09-20 18:46:00,2024-09-20 19:35:04,7.02,49.1,112.71,3W
SES_36145,2024-05-02 19:23:00,2024-05-02 20:43:13,5.85,80.2,100.85,3W
SES_22506,2024-05-01 23:29:00,2024-05-02 01:33:40,51.71,124.7,858.54,4W
SES_71110,2024-11-17 15:22:00,2024-11-17 17:52:52,21.58,150.9,327.97,4W
SES_21994,2024-09-18 20:39:00,2024-09-18 21:50:41,8.96,71.7,148.59,3W
SES_55168,2024-04-03 19:02:00,2024-04-03 19:40:26,1.89,38.4,32.28,2W
SES_31038,2024-05-09 14:11:00,2024-05-09 16:05:06,1.65,114.1,25.45,2W
SES_62279,2024-06-16 22:55:00,2024-06-16 23:55:53,9.15,60.9,137.52,3W
SES_54216,2024-12-22 17:26:00,2024-12-22 18:45:43,6.91,79.7,116.25,3W
SES_42090,2024-09-17 16:48:00,2024-09-17 18:32:29,2.27,104.5,34.38,2W
SES_68522,2024-05-05 10:53:00,2024-05-05 13:20:16,33.34,147.3,517.35,4W
SES_94917,2024-02-17 14:33:00,2024-02-17 15:47:43,6.95,74.7,104.67,3W
SES_71180,2024-09-17 20:58:00,2024-09-17 22:58:39,25.26,120.7,411.9,4W
SES_33908,2024-04-25 18:48:00,2024-04-25 20:33:20,2.84,105.3,45.31,2W
SES_80050,2024-12-09 20:23:00,2024-12-09 21:41:38,41.15,78.6,684.68,4W
SES_87744,2024-12-16 23:18:00,2024-12-17 00:43:10,3.23,85.2,52.46,2W
SES_39803,2024-03-04 23:56:00,2024-03-05 01:20:51,7.61,84.9,124.73,3W
SES_14073,2024-01-27 10:58:00,2024-01-27 11:40:57,2.98,43.0,48.98,2W
SES_20527,2024-12-16 12:41:00,2024-12-16 13:26:14,6.72,45.2,112.65,3W
SES_99323,2024-05-26 11:51:00,2024-05-26 12:32:13,7.39,41.2,119.28,3W
SES_14766,2024-03-21 21:00:00,2024-03-21 21:49:45,3.12,49.8,54.54,2W
SES_82630,2024-08-09 15:32:00,2024-08-09 16:48:00,6.61,76.0,110.54,3W
SES_68400,2024-09-28 13:11:00,2024-09-28 16:01:39,52.77,170.7,793.77,4W
SES_35969,2024-01-26 05:41:00,2024-01-26 06:39:33,24.17,58.6,387.91,4W
SES_71289,2024-09-21 13:27:00,2024-09-21 14:52:08,9.97,85.1,169.99,3W
SES_33760,2024-08-15 18:07:00,2024-08-15 19:59:13,3.14,112.2,49.11,2W
SES_21809,2024-09-02 10:46:00,2024-09-02 13:28:46,54.95,162.8,870.73,4W
SES_87213,2024-02-07 08:55:00,2024-02-07 09:47:50,7.69,52.8,116.51,3W
SES_65350,2024-11-10 10:06:00,2024-11-10 10:50:37,3.24,44.6,51.4,2W
SES_62860,2024-09-12 22:31:00,2024-09-12 23:59:46,6.71,88.8,108.64,3W
SES_94461,2024-03-26 21:09:00,2024-03-26 22:13:14,8.15,64.2,135.76,3W
SES_13609,2024-02-08 10:44:00,2024-02-08 12:35:26,2.38,111.4,40.74,2W
SES_18699,2024-03-05 23:26:00,2024-03-06 01:59:54,42.44,153.9,734.78,4W
SES_87356,2024-05-28 12:14:00,2024-05-28 13:25:42,7.39,71.7,112.22,3W
SES_54386,2024-08-06 02:14:00,2024-08-06 03:22:48,1.81,68.8,27.7,2W
SES_58073,2024-10-28 20:16:00,2024-10-28 21:15:08,6.87,59.1,110.45,3W
SES_14182,2024-02-22 07:59:00,2024-02-22 08:50:07,5.19,51.1,89.91,3W
SES_10104,2024-12-14 23:45:00,2024-12-15 01:05:42,6.31,80.7,105.04,3W
SES_52659,2024-12-16 20:02:00,2024-12-16 21:00:19,8.53,58.3,137.0,3W
SES_89859,2024-02-14 12:37:00,2024-02-14 13:31:19,8.99,54.3,160.78,3W
SES_98520,2024-10-05 10:02:00,2024-10-05 10:51:18,8.58,49.3,129.13,3W
SES_69592,2024-10-13 11:52:00,2024-10-13 12:43:07,2.99,51.1,47.53,2W
SES_47618,2024-03-05 11:55:00,2024-03-05 12:45:30,5.15,50.5,83.6,3W
SES_55047,2024-02-17 14:37:00,2024-02-17 15:26:23,5.66,49.4,93.85,3W
SES_97480,2024-08-28 13:52:00,2024-08-28 16:25:38,39.55,153.6,607.62,4W
SES_94706,2024-02-28 04:31:00,2024-02-28 05:19:51,9.07,48.9,160.12,3W
SES_70199,2024-06-07 12:54:00,2024-06-07 14:22:28,6.35,88.5,99.44,3W
SES_75877,2024-02-13 23:21:00,2024-02-14 01:53:52,35.66,152.9,641.57,4W
SES_66854,2024-10-16 13:38:00,2024-10-16 14:33:47,7.31,55.8,113.62,3W
SES_21756,2024-06-04 05:14:00,2024-06-04 06:26:15,5.93,72.3,90.03,3W
SES_89696,2024-11-09 12:08:00,2024-11-09 13:25:37,9.0,77.6,161.06,3W
SES_39412,2024-01-12 06:35:00,2024-01-12 07:37:23,37.27,62.4,621.75,4W
SES_44075,2024-06-06 09:56:00,2024-06-06 11:05:12,3.08,69.2,48.01,2W
SES_22144,2024-08-16 02:42:00,2024-08-16 04:29:36,24.89,107.6,401.9,4W
SES_22370,2024-07-22 17:43:00,2024-07-22 19:40:56,2.31,117.9,34.92,2W
SES_54729,2024-10-11 16:41:00,2024-10-11 18:26:40,28.37,105.7,483.8,4W
SES_23556,2024-12-01 23:08:00,2024-12-01 23:53:19,5.31,45.3,94.78,3W
SES_68131,2024-06-12 14:21:00,2024-06-12 15:14:24,5.08,53.4,84.16,3W
SES_15365,2024-02-05 16:24:00,2024-02-05 17:55:06,1.78,91.1,27.13,2W
SES_57345,2024-08-03 07:21:00,2024-08-03 09:14:40,26.26,113.7,424.22,4W
SES_64318,2024-09-24 17:15:00,2024-09-24 18:21:54,2.95,66.9,47.4,2W
SES_82368,2024-08-16 22:11:00,2024-08-16 23:15:15,5.47,64.3,94.97,3W
SES_43162,2024-05-04 16:24:00,2024-05-04 17:49:04,2.32,85.1,34.89,2W
SES_54484,2024-09-14 09:27:00,2024-09-14 10:52:09,5.16,85.2,88.74,3W
SES_19161,2024-05-09 02:54:00,2024-05-09 03:54:48,9.25,60.8,155.97,3W
SES_47889,2024-10-17 17:19:00,2024-10-17 19:39:19,42.48,140.3,756.51,4W
SES_18951,2024-11-25 21:52:00,2024-11-26 00:19:57,30.55,148.0,523.8,4W
SES_34885,2024-10-11 16:21:00,2024-10-11 19:13:07,28.91,172.1,513.15,4W
SES_74400,2024-09-05 19:50:00,2024-09-05 20:29:30,3.17,39.5,49.38,2W
SES_96945,2024-08-17 11:21:00,2024-08-17 12:08:29,3.1,47.5,48.65,2W
SES_94669,2024-02-22 14:36:00,2024-02-22 15:50:11,6.04,74.2,101.42,3W
SES_38646,2024-12-24 07:02:00,2024-12-24 08:10:47,2.98,68.8,50.18,2W
SES_14506,2024-03-30 13:34:00,2024-03-30 14:57:21,8.56,83.4,128.66,3W
SES_31284,2024-04-15 16:53:00,2024-04-15 17:33:17,2.32,40.3,41.54,2W
SES_73135,2024-11-30 15:36:00,2024-11-30 16:23:19,46.92,47.3,831.35,4W
SES_70856,2024-06-27 11:39:00,2024-06-27 12:48:33,2.87,69.6,44.45,2W
SES_36351,2024-07-07 14:15:00,2024-07-07 15:17:37,5.73,62.6,101.98,3W
SES_26365,2024-08-27 16:52:00,2024-08-27 18:36:03,26.98,104.1,445.63,4W
SES_48100,2024-09-11 22:12:00,2024-09-11 23:43:40,1.96,91.7,35.27,2W
SES_86179,2024-09-10 23:11:00,2024-09-11 01:00:51,58.49,109.9,1001.71,4W
SES_54766,2024-04-01 11:28:00,2024-04-01 14:11:20,48.66,163.3,754.19,4W
SES_48029,2024-06-15 04:53:00,2024-06-15 05:54:10,48.59,61.2,728.8,4W
SES_99595,2024-04-13 10:22:00,2024-04-13 11:42:55,2.12,80.9,34.68,2W
SES_79848,2024-11-17 23:17:00,2024-11-18 00:07:40,3.44,50.7,53.96,2W
SES_12301,2024-12-17 15:43:00,2024-12-17 18:37:39,27.44,174.7,413.98,4W
SES_49329,2024-11-10 20:22:00,2024-11-10 21:20:08,8.73,58.1,147.07,3W
SES_44812,2024-07-11 09:44:00,2024-07-11 10:35:46,42.19,51.8,697.64,4W
SES_20004,2024-07-14 04:33:00,2024-07-14 05:20:21,34.82,47.4,553.97,4W
SES_43302,2024-12-19 10:45:00,2024-12-19 13:32:06,31.71,167.1,512.52,4W
SES_29027,2024-09-11 06:48:00,2024-09-11 08:19:31,36.49,91.5,637.87,4W
SES_53273,2024-07-15 12:40:00,2024-07-15 14:37:23,22.84,117.4,382.77,4W
