session_id,station_id,session_start,session_end,duration_minutes,energy_delivered_kwh,peak_power_kw,average_power_kw,total_cost_inr,cost_per_kwh,user_id,payment_method,charging_completed,connector_type,operator,city,state,session_type,vehicle_type,start_soc_percent,end_soc_percent,temperature_c,session_rating
SES00000023,REAL_0001,2025-08-30 01:42:28,2025-08-30 02:04:28,22,15.95,50.0,45.5,191.4,12.0,USER486651,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,34,67,39,4
SES00000024,REAL_0001,2025-08-19 10:11:28,2025-08-19 10:54:28,43,24.84,50.0,46.9,298.09,12.0,USER778092,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,40,95,36,5
SES00000025,REAL_0001,2025-08-13 06:23:28,2025-08-13 06:58:28,35,21.76,50.0,45.7,261.15,12.0,USER486360,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,38,71,26,5
SES00000026,REAL_0001,2025-08-21 21:39:28,2025-08-21 22:10:28,31,16.94,50.0,39.0,203.26,12.0,USER226953,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,32,68,24,5
SES00000027,REAL_0001,2025-07-07 08:26:28,2025-07-07 09:09:28,43,27.89,50.0,40.4,334.66,12.0,USER498112,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,26,83,36,4
SES00000028,REAL_0001,2025-08-14 19:22:28,2025-08-14 20:04:28,42,27.3,50.0,36.3,327.54,12.0,USER839899,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,22,64,38,5
SES00000029,REAL_0001,2025-10-03 06:53:28,2025-10-03 07:10:28,17,10.42,50.0,37.2,125.09,12.0,USER660793,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,22,71,27,3
SES00000030,REAL_0001,2025-09-26 00:38:28,2025-09-26 01:08:28,30,18.85,50.0,35.6,226.21,12.0,USER527288,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,22,66,29,4
SES00000031,REAL_0001,2025-09-03 00:15:28,2025-09-03 00:46:28,31,22.04,50.0,38.0,264.48,12.0,USER812635,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,12,91,21,4
SES00000032,REAL_0001,2025-08-12 19:51:28,2025-08-12 20:31:28,40,25.1,50.0,42.5,301.16,12.0,USER723599,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,16,63,22,4
SES00000033,REAL_0001,2025-09-25 03:01:28,2025-09-25 03:18:28,17,9.87,50.0,43.2,118.46,12.0,USER795692,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,21,78,25,1
SES00000034,REAL_0001,2025-09-22 07:31:28,2025-09-22 08:01:28,30,21.93,50.0,41.6,263.11,12.0,USER201598,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,32,65,24,5
SES00000035,REAL_0001,2025-08-01 22:22:28,2025-08-01 22:54:28,32,20.12,50.0,45.7,241.45,12.0,USER398231,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,39,62,32,4
SES00000036,REAL_0001,2025-10-02 03:14:28,2025-10-02 03:35:28,21,13.9,50.0,44.9,166.84,12.0,USER895307,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,11,65,36,5
SES00000037,REAL_0001,2025-09-25 22:33:28,2025-09-25 22:59:28,26,18.02,50.0,41.6,216.18,12.0,USER373359,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,19,65,27,3
SES00000038,REAL_0001,2025-08-03 00:38:28,2025-08-03 01:02:28,24,17.37,50.0,36.2,208.43,12.0,USER663264,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,21,80,30,4
SES00000039,REAL_0001,2025-08-28 08:43:28,2025-08-28 08:59:28,16,9.32,50.0,40.6,111.84,12.0,USER985243,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,40,68,40,5
SES00000040,REAL_0001,2025-08-24 12:06:28,2025-08-24 12:24:28,18,10.59,50.0,37.4,127.04,12.0,USER208006,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,12,82,28,4
SES00000041,REAL_0001,2025-08-13 08:32:28,2025-08-13 08:55:28,23,15.25,50.0,36.4,183.0,12.0,USER462618,UPI,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,16,66,40,2
SES00000042,REAL_0001,2025-08-31 20:52:28,2025-08-31 21:27:28,35,22.99,50.0,41.1,275.89,12.0,USER171065,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,16,93,40,5
SES00000043,REAL_0001,2025-09-25 05:09:28,2025-09-25 05:29:28,20,12.15,50.0,47.1,145.78,12.0,USER501616,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,18,75,29,5
SES00000044,REAL_0001,2025-07-15 03:34:28,2025-07-15 04:11:28,37,24.76,50.0,40.5,297.07,12.0,USER641277,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,39,83,27,3
SES00000045,REAL_0001,2025-08-16 03:29:28,2025-08-16 04:14:28,45,26.24,50.0,37.4,314.89,12.0,USER615148,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,16,79,34,5
SES00000046,REAL_0001,2025-08-15 04:11:28,2025-08-15 04:30:28,19,13.17,50.0,35.4,158.06,12.0,USER177104,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,31,91,24,2
SES00000047,REAL_0001,2025-08-26 20:42:28,2025-08-26 21:14:28,32,22.92,50.0,37.7,274.98,12.0,USER102566,Card,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,32,91,22,4
SES00000048,REAL_0001,2025-08-30 21:17:28,2025-08-30 22:00:28,43,26.0,50.0,44.7,312.01,12.0,USER640603,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,10,94,33,4
SES00000049,REAL_0001,2025-09-29 23:22:28,2025-09-30 00:04:28,42,25.71,50.0,39.0,308.53,12.0,USER195275,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,26,65,23,5
SES00000050,REAL_0001,2025-09-06 02:56:28,2025-09-06 03:23:28,27,17.17,50.0,38.2,206.08,12.0,USER994894,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,26,70,36,5
SES00000051,REAL_0001,2025-07-15 22:53:28,2025-07-15 23:15:28,22,11.92,50.0,47.3,143.04,12.0,USER937510,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,13,65,26,4
SES00000052,REAL_0001,2025-07-12 10:57:28,2025-07-12 11:30:28,33,22.1,50.0,43.7,265.17,12.0,USER175398,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,17,93,27,5
SES00000053,REAL_0001,2025-09-27 22:40:28,2025-09-27 23:15:28,35,25.64,50.0,42.6,307.63,12.0,USER199426,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,22,90,29,3
SES00000054,REAL_0001,2025-08-18 21:39:28,2025-08-18 22:14:28,35,25.65,50.0,36.3,307.78,12.0,USER157357,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,17,91,22,5
SES00000055,REAL_0001,2025-08-19 11:54:28,2025-08-19 12:18:28,24,14.29,50.0,44.0,171.46,12.0,USER970343,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,40,69,33,5
SES00000056,REAL_0001,2025-10-01 10:24:28,2025-10-01 10:58:28,34,23.35,50.0,35.2,280.21,12.0,USER549804,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,32,82,37,4
SES00000057,REAL_0001,2025-09-23 22:19:28,2025-09-23 22:44:28,25,17.69,50.0,39.2,212.31,12.0,USER531587,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,23,82,24,5
SES00000058,REAL_0001,2025-07-30 19:23:28,2025-07-30 19:49:28,26,15.08,50.0,39.3,180.91,12.0,USER557676,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,36,74,23,5
SES00000059,REAL_0001,2025-09-27 01:55:28,2025-09-27 02:12:28,17,9.57,50.0,46.1,114.84,12.0,USER861186,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,36,73,35,5
SES00000060,REAL_0001,2025-08-02 20:55:28,2025-08-02 21:24:28,29,17.9,50.0,37.9,214.79,12.0,USER144704,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,27,63,23,5
SES00000061,REAL_0001,2025-08-10 07:10:28,2025-08-10 07:32:28,22,13.04,50.0,45.9,156.51,12.0,USER441003,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,28,88,39,2
SES00000062,REAL_0001,2025-08-01 11:17:28,2025-08-01 11:43:28,26,18.2,50.0,45.9,218.39,12.0,USER367620,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,16,69,32,5
SES00000063,REAL_0001,2025-09-23 23:15:28,2025-09-23 23:36:28,21,11.38,50.0,40.4,136.52,12.0,USER657425,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,40,68,26,3
SES00000064,REAL_0001,2025-10-04 01:56:28,2025-10-04 02:21:28,25,15.5,50.0,40.8,186.04,12.0,USER698790,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,38,62,39,4
SES00000065,REAL_0001,2025-08-31 07:03:28,2025-08-31 07:36:28,33,23.48,50.0,41.1,281.72,12.0,USER347751,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,12,73,33,2
SES00000066,REAL_0001,2025-08-06 10:20:28,2025-08-06 10:42:28,22,14.53,50.0,42.7,174.38,12.0,USER658204,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,37,60,40,4
SES00000067,REAL_0001,2025-07-07 21:14:28,2025-07-07 21:53:28,39,21.57,50.0,39.9,258.87,12.0,USER945480,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,20,78,22,4
SES00000068,REAL_0001,2025-09-06 06:40:28,2025-09-06 07:25:28,45,30.67,50.0,38.1,367.99,12.0,USER678459,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,30,80,38,4
SES00000069,REAL_0001,2025-09-18 02:28:28,2025-09-18 03:07:28,39,25.04,50.0,35.6,300.52,12.0,USER766386,Card,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,14,94,38,5
SES00000070,REAL_0001,2025-07-09 05:22:28,2025-07-09 05:52:28,30,16.84,50.0,38.2,202.12,12.0,USER102890,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,37,79,21,3
SES00000071,REAL_0001,2025-09-25 05:04:28,2025-09-25 05:35:28,31,18.04,50.0,37.8,216.49,12.0,USER579448,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,28,79,33,4
SES00000072,REAL_0001,2025-08-10 02:39:28,2025-08-10 02:59:28,20,13.68,50.0,39.2,164.12,12.0,USER193935,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,13,69,26,4
SES00000073,REAL_0001,2025-09-16 07:45:28,2025-09-16 08:07:28,22,13.43,50.0,42.8,161.21,12.0,USER398154,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,34,88,32,4
SES00000074,REAL_0001,2025-07-18 08:41:28,2025-07-18 09:22:28,41,25.64,50.0,43.9,307.67,12.0,USER412310,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,20,83,34,5
SES00000075,REAL_0001,2025-09-26 05:34:28,2025-09-26 05:51:28,17,9.56,50.0,44.5,114.75,12.0,USER661086,Cash,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,29,60,36,5
SES00000076,REAL_0001,2025-09-25 21:37:28,2025-09-25 22:12:28,35,23.32,50.0,40.8,279.89,12.0,USER375913,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,28,61,23,4
SES00000077,REAL_0001,2025-07-25 10:38:28,2025-07-25 11:10:28,32,22.92,50.0,42.6,275.06,12.0,USER427780,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,15,60,29,5
SES00000078,REAL_0001,2025-08-15 21:32:28,2025-08-15 21:51:28,19,12.29,50.0,42.0,147.51,12.0,USER341314,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,29,77,31,2
SES00000079,REAL_0001,2025-09-22 05:07:28,2025-09-22 05:44:28,37,21.87,50.0,41.9,262.47,12.0,USER895525,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,24,78,40,4
SES00000080,REAL_0001,2025-08-30 03:12:28,2025-08-30 03:51:28,39,21.13,50.0,41.0,253.53,12.0,USER239348,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,13,81,24,4
SES00000081,REAL_0001,2025-09-01 01:45:28,2025-09-01 02:11:28,26,19.08,50.0,35.3,229.02,12.0,USER543299,Wallet,False,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,27,70,23,4
SES00000082,REAL_0001,2025-08-07 08:32:28,2025-08-07 09:12:28,40,24.72,50.0,45.6,296.58,12.0,USER127446,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,19,78,30,2
SES00000083,REAL_0001,2025-07-22 23:47:28,2025-07-23 00:24:28,37,23.46,50.0,35.2,281.5,12.0,USER351828,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,35,87,30,4
SES00000084,REAL_0001,2025-08-04 08:42:28,2025-08-04 09:22:28,40,27.9,50.0,41.3,334.84,12.0,USER474104,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,38,80,24,4
SES00000085,REAL_0001,2025-07-09 07:20:28,2025-07-09 07:38:28,18,13.15,50.0,37.8,157.75,12.0,USER294346,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,18,74,30,5
SES00000086,REAL_0001,2025-09-08 20:52:28,2025-09-08 21:14:28,22,15.2,50.0,46.3,182.36,12.0,USER228429,Cash,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,33,81,22,1
SES00000087,REAL_0001,2025-08-05 22:09:28,2025-08-05 22:46:28,37,27.1,50.0,40.9,325.17,12.0,USER672284,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,22,90,34,5
SES00000088,REAL_0001,2025-07-30 00:45:28,2025-07-30 01:19:28,34,21.31,50.0,40.5,255.73,12.0,USER228870,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,35,81,31,5
SES00000089,REAL_0001,2025-08-20 03:07:28,2025-08-20 03:38:28,31,18.67,50.0,42.3,224.07,12.0,USER629632,Wallet,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,22,60,35,4
SES00000090,REAL_0001,2025-07-10 08:04:28,2025-07-10 08:42:28,38,23.09,50.0,42.8,277.13,12.0,USER904219,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,35,87,26,4
SES00000091,REAL_0001,2025-09-01 21:52:28,2025-09-01 22:26:28,34,22.64,50.0,42.6,271.68,12.0,USER555859,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,Commercial,39,87,26,5
SES00000092,REAL_0001,2025-09-26 05:20:28,2025-09-26 05:36:28,16,11.19,50.0,35.4,134.33,12.0,USER887472,UPI,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,2-Wheeler,26,82,37,5
SES00000093,REAL_0001,2025-07-09 11:15:28,2025-07-09 11:41:28,26,17.71,50.0,43.1,212.57,12.0,USER659688,Card,True,"CCS, CHAdeMO",TATA Power,New Delhi,Delhi,DC Fast,4-Wheeler,19,61,32,4
SES00000094,REAL_0026,2025-09-24 21:34:28,2025-09-24 22:00:28,26,19.27,50.0,35.5,231.19,12.0,USER878944,Wallet,False,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,Commercial,38,65,24,5
SES00000095,REAL_0026,2025-07-18 02:03:28,2025-07-18 02:43:28,40,23.65,50.0,43.4,283.75,12.0,USER254160,Wallet,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,4-Wheeler,17,71,21,4
SES00000096,REAL_0026,2025-09-07 03:02:28,2025-09-07 03:43:28,41,28.83,50.0,40.4,345.94,12.0,USER565224,Card,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,4-Wheeler,11,86,31,3
SES00000097,REAL_0026,2025-09-16 06:41:28,2025-09-16 07:10:28,29,19.86,50.0,46.5,238.3,12.0,USER560463,Card,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,2-Wheeler,39,84,38,4
SES00000098,REAL_0026,2025-07-07 11:34:28,2025-07-07 12:05:28,31,22.05,50.0,40.4,264.62,12.0,USER548173,Card,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,2-Wheeler,12,71,27,5
SES00000099,REAL_0026,2025-07-26 10:42:28,2025-07-26 11:13:28,31,19.44,50.0,39.1,233.27,12.0,USER616514,Cash,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,Commercial,26,82,28,5
SES00000100,REAL_0026,2025-09-03 19:56:28,2025-09-03 20:27:28,31,21.23,50.0,39.8,254.81,12.0,USER873356,Wallet,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,Commercial,24,66,36,5
SES00000101,REAL_0026,2025-07-06 21:23:28,2025-07-06 21:54:28,31,22.11,50.0,43.6,265.31,12.0,USER719263,Wallet,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,Commercial,38,68,25,3
SES00000102,REAL_0026,2025-08-01 03:57:28,2025-08-01 04:35:28,38,25.89,50.0,43.0,310.68,12.0,USER445957,UPI,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,4-Wheeler,10,82,20,4
SES00000103,REAL_0026,2025-08-18 01:02:28,2025-08-18 01:41:28,39,26.29,50.0,45.8,315.53,12.0,USER687072,Card,False,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,2-Wheeler,18,94,31,4
SES00000104,REAL_0026,2025-07-14 08:13:28,2025-07-14 08:41:28,28,20.77,50.0,47.5,249.21,12.0,USER170672,Wallet,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,2-Wheeler,34,85,32,4
SES00000105,REAL_0026,2025-07-24 22:17:28,2025-07-24 23:02:28,45,25.43,50.0,42.4,305.1,12.0,USER969854,UPI,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,Commercial,13,76,38,5
SES00000106,REAL_0026,2025-07-23 22:49:28,2025-07-23 23:20:28,31,20.38,50.0,45.1,244.57,12.0,USER331524,Card,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,4-Wheeler,16,79,27,4
SES00000107,REAL_0026,2025-07-10 02:51:28,2025-07-10 03:11:28,20,12.85,50.0,45.3,154.23,12.0,USER970796,Card,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,4-Wheeler,28,69,32,2
SES00000108,REAL_0026,2025-08-16 04:47:28,2025-08-16 05:30:28,43,23.66,50.0,35.8,283.9,12.0,USER437671,Wallet,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,Commercial,31,95,32,2
SES00000109,REAL_0026,2025-07-14 22:28:28,2025-07-14 22:44:28,16,8.71,50.0,45.2,104.52,12.0,USER512655,UPI,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,Commercial,20,84,28,4
SES00000110,REAL_0026,2025-08-26 21:26:28,2025-08-26 21:57:28,31,22.57,50.0,45.8,270.86,12.0,USER254912,Wallet,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,2-Wheeler,19,76,23,2
SES00000111,REAL_0026,2025-08-25 20:57:28,2025-08-25 21:42:28,45,28.73,50.0,38.6,344.76,12.0,USER479249,Wallet,True,"CCS, CHAdeMO",TATA Power,Mumbai,Maharashtra,DC Fast,Commercial,30,67,24,4
