date,state,vehicle_category,ev_sales_count,year,month,quarter,half_year,is_festival_season,year_month,months_since_start,national_share_pct,yoy_growth_pct,ev_sales_count_lag_1,ev_sales_count_lag_2,ev_sales_count_lag_3,ev_sales_count_lag_6,ev_sales_count_lag_12,ev_sales_count_rolling_3,ev_sales_count_rolling_6
2023-08-01,Delhi,4W,253,2023,8,3,1,0,2023-08,19,0.13,-50.1,507.0,1777.0,115.0,121.0,164.0,845.6666666666666,615.1666666666666
2023-09-01,Delhi,2W,882,2023,9,3,1,0,2023-09,20,0.44,248.62,253.0,507.0,1777.0,808.0,1417.0,547.3333333333334,627.5
2023-09-01,Delhi,3W,252,2023,9,3,1,0,2023-09,20,0.13,-71.43,882.0,253.0,507.0,231.0,404.0,462.3333333333333,631.0
2023-09-01,Delhi,4W,126,2023,9,3,1,0,2023-09,20,0.06,-50.0,252.0,882.0,253.0,115.0,202.0,420.0,632.8333333333334
2023-10-01,Delhi,2W,2208,2023,10,4,1,1,2023-10,21,1.11,1652.38,126.0,252.0,882.0,1777.0,848.0,862.0,704.6666666666666
2023-10-01,Delhi,3W,631,2023,10,4,1,1,2023-10,21,0.32,-71.42,2208.0,126.0,252.0,507.0,242.0,988.3333333333334,725.3333333333334
2023-10-01,Delhi,4W,315,2023,10,4,1,1,2023-10,21,0.16,-50.08,631.0,2208.0,126.0,253.0,121.0,1051.3333333333333,735.6666666666666
2023-11-01,Delhi,2W,1501,2023,11,4,1,1,2023-11,22,0.76,376.51,315.0,631.0,2208.0,882.0,808.0,815.6666666666666,838.8333333333334
2023-11-01,Delhi,3W,428,2023,11,4,1,1,2023-11,22,0.22,-71.49,1501.0,315.0,631.0,252.0,231.0,748.0,868.1666666666666
2023-11-01,Delhi,4W,214,2023,11,4,1,1,2023-11,22,0.11,-50.0,428.0,1501.0,315.0,126.0,115.0,714.3333333333334,882.8333333333334
2023-12-01,Delhi,2W,1699,2023,12,4,1,1,2023-12,23,0.86,693.93,214.0,428.0,1501.0,2208.0,1777.0,780.3333333333334,798.0
2023-12-01,Delhi,3W,485,2023,12,4,1,1,2023-12,23,0.24,-71.45,1699.0,214.0,428.0,631.0,507.0,799.3333333333334,773.6666666666666
2023-12-01,Delhi,4W,242,2023,12,4,1,1,2023-12,23,0.12,-50.1,485.0,1699.0,214.0,315.0,253.0,808.6666666666666,761.5
2024-01-01,Delhi,2W,3296,2024,1,1,2,0,2024-01,24,1.09,1261.98,242.0,485.0,1699.0,1501.0,882.0,1341.0,1060.6666666666667
2024-01-01,Delhi,3W,941,2024,1,1,2,0,2024-01,24,0.31,-71.45,3296.0,242.0,485.0,428.0,252.0,1493.0,1146.1666666666667
2024-01-01,Delhi,4W,470,2024,1,1,2,0,2024-01,24,0.16,-50.05,941.0,3296.0,242.0,214.0,126.0,1569.0,1188.8333333333333
2024-02-01,Delhi,2W,2864,2024,2,1,2,0,2024-02,25,0.95,509.36,470.0,941.0,3296.0,1699.0,2208.0,1425.0,1383.0
2024-02-01,Delhi,3W,818,2024,2,1,2,0,2024-02,25,0.27,-71.44,2864.0,470.0,941.0,485.0,631.0,1384.0,1438.5
2024-02-01,Delhi,4W,409,2024,2,1,2,0,2024-02,25,0.14,-50.0,818.0,2864.0,470.0,242.0,315.0,1363.6666666666667,1466.3333333333333
2024-03-01,Delhi,2W,1572,2024,3,1,2,0,2024-03,26,0.52,284.35,409.0,818.0,2864.0,3296.0,1501.0,933.0,1179.0
2024-03-01,Delhi,3W,449,2024,3,1,2,0,2024-03,26,0.15,-71.44,1572.0,409.0,818.0,941.0,428.0,810.0,1097.0
2024-03-01,Delhi,4W,224,2024,3,1,2,0,2024-03,26,0.07,-50.11,449.0,1572.0,409.0,470.0,214.0,748.3333333333334,1056.0
2024-04-01,Delhi,2W,2374,2024,4,2,2,0,2024-04,27,0.79,959.82,224.0,449.0,1572.0,2864.0,1699.0,1015.6666666666666,974.3333333333334
2024-04-01,Delhi,3W,678,2024,4,2,2,0,2024-04,27,0.23,-71.44,2374.0,224.0,449.0,818.0,485.0,1092.0,951.0
2024-04-01,Delhi,4W,339,2024,4,2,2,0,2024-04,27,0.11,-50.0,678.0,2374.0,224.0,409.0,242.0,1130.3333333333333,939.3333333333334
2024-05-01,Delhi,2W,1237,2024,5,2,2,0,2024-05,28,0.41,264.9,339.0,678.0,2374.0,1572.0,3296.0,751.3333333333334,883.5
2024-05-01,Delhi,3W,353,2024,5,2,2,0,2024-05,28,0.12,-71.46,1237.0,339.0,678.0,449.0,941.0,643.0,867.5
2024-05-01,Delhi,4W,176,2024,5,2,2,0,2024-05,28,0.06,-50.14,353.0,1237.0,339.0,224.0,470.0,588.6666666666666,859.5
2024-06-01,Delhi,2W,1876,2024,6,2,2,0,2024-06,29,0.62,965.91,176.0,353.0,1237.0,2374.0,2864.0,801.6666666666666,776.5
2024-06-01,Delhi,3W,536,2024,6,2,2,0,2024-06,29,0.18,-71.43,1876.0,176.0,353.0,678.0,818.0,862.6666666666666,752.8333333333334
2024-06-01,Delhi,4W,268,2024,6,2,2,0,2024-06,29,0.09,-50.0,536.0,1876.0,176.0,339.0,409.0,893.3333333333334,741.0
2024-07-01,Delhi,2W,1106,2024,7,3,1,0,2024-07,30,0.37,312.69,268.0,536.0,1876.0,1237.0,1572.0,636.6666666666666,719.1666666666666
2024-07-01,Delhi,3W,316,2024,7,3,1,0,2024-07,30,0.1,-71.43,1106.0,268.0,536.0,353.0,449.0,563.3333333333334,713.0
2024-07-01,Delhi,4W,158,2024,7,3,1,0,2024-07,30,0.05,-50.0,316.0,1106.0,268.0,176.0,224.0,526.6666666666666,710.0
2024-08-01,Delhi,2W,3258,2024,8,3,1,0,2024-08,31,1.08,1962.03,158.0,316.0,1106.0,1876.0,2374.0,1244.0,940.3333333333334
2024-08-01,Delhi,3W,931,2024,8,3,1,0,2024-08,31,0.31,-71.42,3258.0,158.0,316.0,536.0,678.0,1449.0,1006.1666666666666
2024-08-01,Delhi,4W,465,2024,8,3,1,0,2024-08,31,0.15,-50.05,931.0,3258.0,158.0,268.0,339.0,1551.3333333333333,1039.0
2024-09-01,Delhi,2W,1889,2024,9,3,1,0,2024-09,32,0.63,306.24,465.0,931.0,3258.0,1106.0,1237.0,1095.0,1169.5
2024-09-01,Delhi,3W,539,2024,9,3,1,0,2024-09,32,0.18,-71.47,1889.0,465.0,931.0,316.0,353.0,964.3333333333334,1206.6666666666667
2024-09-01,Delhi,4W,269,2024,9,3,1,0,2024-09,32,0.09,-50.09,539.0,1889.0,465.0,158.0,176.0,899.0,1225.1666666666667
2024-10-01,Delhi,2W,3233,2024,10,4,1,1,2024-10,33,1.07,1101.86,269.0,539.0,1889.0,3258.0,1876.0,1347.0,1221.0
2024-10-01,Delhi,3W,923,2024,10,4,1,1,2024-10,33,0.31,-71.45,3233.0,269.0,539.0,931.0,536.0,1475.0,1219.6666666666667
2024-10-01,Delhi,4W,461,2024,10,4,1,1,2024-10,33,0.15,-50.05,923.0,3233.0,269.0,465.0,268.0,1539.0,1219.0
2024-11-01,Delhi,2W,1526,2024,11,4,1,1,2024-11,34,0.51,231.02,461.0,923.0,3233.0,1889.0,1106.0,970.0,1158.5
2024-11-01,Delhi,3W,436,2024,11,4,1,1,2024-11,34,0.14,-71.43,1526.0,461.0,923.0,539.0,316.0,807.6666666666666,1141.3333333333333
2024-11-01,Delhi,4W,218,2024,11,4,1,1,2024-11,34,0.07,-50.0,436.0,1526.0,461.0,269.0,158.0,726.6666666666666,1132.8333333333333
2024-12-01,Delhi,2W,3208,2024,12,4,1,1,2024-12,35,1.06,1371.56,218.0,436.0,1526.0,3233.0,3258.0,1287.3333333333333,1128.6666666666667
2024-12-01,Delhi,3W,916,2024,12,4,1,1,2024-12,35,0.3,-71.45,3208.0,218.0,436.0,923.0,931.0,1447.3333333333333,1127.5
2024-12-01,Delhi,4W,458,2024,12,4,1,1,2024-12,35,0.15,-50.0,916.0,3208.0,218.0,461.0,465.0,1527.3333333333333,1127.0
2025-01-01,Delhi,2W,2804,2025,1,1,2,0,2025-01,36,0.62,512.23,458.0,916.0,3208.0,1526.0,1889.0,1392.6666666666667,1340.0
2025-01-01,Delhi,3W,801,2025,1,1,2,0,2025-01,36,0.18,-71.43,2804.0,458.0,916.0,436.0,539.0,1354.3333333333333,1400.8333333333333
2025-01-01,Delhi,4W,400,2025,1,1,2,0,2025-01,36,0.09,-50.06,801.0,2804.0,458.0,218.0,269.0,1335.0,1431.1666666666667
2025-02-01,Delhi,2W,4567,2025,2,1,2,0,2025-02,37,1.01,1041.75,400.0,801.0,2804.0,3208.0,3233.0,1922.6666666666667,1657.6666666666667
2025-02-01,Delhi,3W,1305,2025,2,1,2,0,2025-02,37,0.29,-71.43,4567.0,400.0,801.0,916.0,923.0,2090.6666666666665,1722.5
2025-02-01,Delhi,4W,652,2025,2,1,2,0,2025-02,37,0.14,-50.04,1305.0,4567.0,400.0,458.0,461.0,2174.6666666666665,1754.8333333333333
2025-03-01,Delhi,2W,3469,2025,3,1,2,0,2025-03,38,0.77,432.06,652.0,1305.0,4567.0,2804.0,1526.0,1808.6666666666667,1865.6666666666667
2025-03-01,Delhi,3W,991,2025,3,1,2,0,2025-03,38,0.22,-71.43,3469.0,652.0,1305.0,801.0,436.0,1704.0,1897.3333333333333
2025-03-01,Delhi,4W,495,2025,3,1,2,0,2025-03,38,0.11,-50.05,991.0,3469.0,652.0,400.0,218.0,1651.6666666666667,1913.1666666666667
2025-04-01,Delhi,2W,2986,2025,4,2,2,0,2025-04,39,0.66,503.23,495.0,991.0,3469.0,4567.0,3208.0,1490.6666666666667,1649.6666666666667
2025-04-01,Delhi,3W,853,2025,4,2,2,0,2025-04,39,0.19,-71.43,2986.0,495.0,991.0,1305.0,916.0,1444.6666666666667,1574.3333333333333
2025-04-01,Delhi,4W,426,2025,4,2,2,0,2025-04,39,0.09,-50.06,853.0,2986.0,495.0,652.0,458.0,1421.6666666666667,1536.6666666666667
2025-05-01,Delhi,2W,3284,2025,5,2,2,0,2025-05,40,0.72,670.89,426.0,853.0,2986.0,3469.0,2804.0,1521.0,1505.8333333333333
2025-05-01,Delhi,3W,938,2025,5,2,2,0,2025-05,40,0.21,-71.44,3284.0,426.0,853.0,991.0,801.0,1549.3333333333333,1497.0
2025-05-01,Delhi,4W,469,2025,5,2,2,0,2025-05,40,0.1,-50.0,938.0,3284.0,426.0,495.0,400.0,1563.6666666666667,1492.6666666666667
2025-06-01,Delhi,2W,3340,2025,6,2,2,0,2025-06,41,0.74,612.15,469.0,938.0,3284.0,2986.0,4567.0,1582.3333333333333,1551.6666666666667
2025-06-01,Delhi,3W,954,2025,6,2,2,0,2025-06,41,0.21,-71.44,3340.0,469.0,938.0,853.0,1305.0,1587.6666666666667,1568.5
2025-06-01,Delhi,4W,477,2025,6,2,2,0,2025-06,41,0.11,-50.0,954.0,3340.0,469.0,426.0,652.0,1590.3333333333333,1577.0
2025-07-01,Delhi,2W,2298,2025,7,3,1,0,2025-07,42,0.51,381.76,477.0,954.0,3340.0,3284.0,3469.0,1243.0,1412.6666666666667
2025-07-01,Delhi,3W,656,2025,7,3,1,0,2025-07,42,0.14,-71.45,2298.0,477.0,954.0,938.0,991.0,1143.6666666666667,1365.6666666666667
2025-07-01,Delhi,4W,328,2025,7,3,1,0,2025-07,42,0.07,-50.0,656.0,2298.0,477.0,469.0,495.0,1094.0,1342.1666666666667
2025-08-01,Delhi,2W,3687,2025,8,3,1,0,2025-08,43,0.81,1024.09,328.0,656.0,2298.0,3340.0,2986.0,1557.0,1400.0
2025-08-01,Delhi,3W,1053,2025,8,3,1,0,2025-08,43,0.23,-71.44,3687.0,328.0,656.0,954.0,853.0,1689.3333333333333,1416.5
2025-08-01,Delhi,4W,526,2025,8,3,1,0,2025-08,43,0.12,-50.05,1053.0,3687.0,328.0,477.0,426.0,1755.3333333333333,1424.6666666666667
2025-09-01,Delhi,2W,2867,2025,9,3,1,0,2025-09,44,0.63,445.06,526.0,1053.0,3687.0,2298.0,3284.0,1482.0,1519.5
2025-09-01,Delhi,3W,819,2025,9,3,1,0,2025-09,44,0.18,-71.43,2867.0,526.0,1053.0,656.0,938.0,1404.0,1546.6666666666667
2025-09-01,Delhi,4W,409,2025,9,3,1,0,2025-09,44,0.09,-50.06,819.0,2867.0,526.0,328.0,469.0,1365.0,1560.1666666666667
2025-10-01,Delhi,2W,2909,2025,10,4,1,1,2025-10,45,0.64,611.25,409.0,819.0,2867.0,3687.0,3340.0,1379.0,1430.5
2025-10-01,Delhi,3W,831,2025,10,4,1,1,2025-10,45,0.18,-71.43,2909.0,409.0,819.0,1053.0,954.0,1383.0,1393.5
2025-10-01,Delhi,4W,415,2025,10,4,1,1,2025-10,45,0.09,-50.06,831.0,2909.0,409.0,526.0,477.0,1385.0,1375.0
2025-11-01,Delhi,2W,3095,2025,11,4,1,1,2025-11,46,0.68,645.78,415.0,831.0,2909.0,2867.0,2298.0,1447.0,1413.0
2025-11-01,Delhi,3W,884,2025,11,4,1,1,2025-11,46,0.2,-71.44,3095.0,415.0,831.0,819.0,656.0,1464.6666666666667,1423.8333333333333
2025-11-01,Delhi,4W,442,2025,11,4,1,1,2025-11,46,0.1,-50.0,884.0,3095.0,415.0,409.0,328.0,1473.6666666666667,1429.3333333333333
2025-12-01,Delhi,2W,2771,2025,12,4,1,1,2025-12,47,0.61,526.92,442.0,884.0,3095.0,2909.0,3687.0,1365.6666666666667,1406.3333333333333
2025-12-01,Delhi,3W,791,2025,12,4,1,1,2025-12,47,0.17,-71.45,2771.0,442.0,884.0,831.0,1053.0,1334.6666666666667,1399.6666666666667
2025-12-01,Delhi,4W,395,2025,12,4,1,1,2025-12,47,0.09,-50.06,791.0,2771.0,442.0,415.0,526.0,1319.0,1396.3333333333333
2022-01-01,Gujarat,2W,901,2022,1,1,2,0,2022-01,0,0.68,,,,,,,901.0,901.0
2022-01-01,Gujarat,3W,257,2022,1,1,2,0,2022-01,0,0.19,-71.48,901.0,,,,,579.0,579.0
2022-01-01,Gujarat,4W,128,2022,1,1,2,0,2022-01,0,0.1,-50.19,257.0,901.0,,,,428.6666666666667,428.6666666666667
2022-02-01,Gujarat,2W,455,2022,2,1,2,0,2022-02,1,0.34,255.47,128.0,257.0,901.0,,,280.0,435.25
2022-02-01,Gujarat,3W,130,2022,2,1,2,0,2022-02,1,0.1,-71.43,455.0,128.0,257.0,,,237.66666666666666,374.2
2022-02-01,Gujarat,4W,65,2022,2,1,2,0,2022-02,1,0.05,-50.0,130.0,455.0,128.0,,,216.66666666666666,322.6666666666667
2022-03-01,Gujarat,2W,541,2022,3,1,2,0,2022-03,2,0.41,732.31,65.0,130.0,455.0,901.0,,245.33333333333334,262.6666666666667
2022-03-01,Gujarat,3W,154,2022,3,1,2,0,2022-03,2,0.12,-71.53,541.0,65.0,130.0,257.0,,253.33333333333334,245.5
2022-03-01,Gujarat,4W,77,2022,3,1,2,0,2022-03,2,0.06,-50.0,154.0,541.0,65.0,128.0,,257.3333333333333,237.0
2022-04-01,Gujarat,2W,1013,2022,4,2,2,0,2022-04,3,0.76,1215.58,77.0,154.0,541.0,455.0,,414.6666666666667,330.0
2022-04-01,Gujarat,3W,289,2022,4,2,2,0,2022-04,3,0.22,-71.47,1013.0,77.0,154.0,130.0,,459.6666666666667,356.5
2022-04-01,Gujarat,4W,144,2022,4,2,2,0,2022-04,3,0.11,-50.17,289.0,1013.0,77.0,65.0,,482.0,369.6666666666667
2022-05-01,Gujarat,2W,978,2022,5,2,2,0,2022-05,4,0.73,579.17,144.0,289.0,1013.0,541.0,901.0,470.3333333333333,442.5
2022-05-01,Gujarat,3W,279,2022,5,2,2,0,2022-05,4,0.21,-71.47,978.0,144.0,289.0,154.0,257.0,467.0,463.3333333333333
2022-05-01,Gujarat,4W,139,2022,5,2,2,0,2022-05,4,0.1,-50.18,279.0,978.0,144.0,77.0,128.0,465.3333333333333,473.6666666666667
2022-06-01,Gujarat,2W,1039,2022,6,2,2,0,2022-06,5,0.78,647.48,139.0,279.0,978.0,1013.0,455.0,485.6666666666667,478.0
2022-06-01,Gujarat,3W,297,2022,6,2,2,0,2022-06,5,0.22,-71.41,1039.0,139.0,279.0,289.0,130.0,491.6666666666667,479.3333333333333
2022-06-01,Gujarat,4W,148,2022,6,2,2,0,2022-06,5,0.11,-50.17,297.0,1039.0,139.0,144.0,65.0,494.6666666666667,480.0
2022-07-01,Gujarat,2W,390,2022,7,3,1,0,2022-07,6,0.29,163.51,148.0,297.0,1039.0,978.0,541.0,278.3333333333333,382.0
2022-07-01,Gujarat,3W,111,2022,7,3,1,0,2022-07,6,0.08,-71.54,390.0,148.0,297.0,279.0,154.0,216.33333333333334,354.0
2022-07-01,Gujarat,4W,55,2022,7,3,1,0,2022-07,6,0.04,-50.45,111.0,390.0,148.0,139.0,77.0,185.33333333333334,340.0
2022-08-01,Gujarat,2W,722,2022,8,3,1,0,2022-08,7,0.54,1212.73,55.0,111.0,390.0,1039.0,1013.0,296.0,287.1666666666667
2022-08-01,Gujarat,3W,206,2022,8,3,1,0,2022-08,7,0.15,-71.47,722.0,55.0,111.0,297.0,289.0,327.6666666666667,272.0
2022-08-01,Gujarat,4W,103,2022,8,3,1,0,2022-08,7,0.08,-50.0,206.0,722.0,55.0,148.0,144.0,343.6666666666667,264.5
2022-09-01,Gujarat,2W,935,2022,9,3,1,0,2022-09,8,0.7,807.77,103.0,206.0,722.0,390.0,978.0,414.6666666666667,355.3333333333333
2022-09-01,Gujarat,3W,267,2022,9,3,1,0,2022-09,8,0.2,-71.44,935.0,103.0,206.0,111.0,279.0,435.0,381.3333333333333
2022-09-01,Gujarat,4W,133,2022,9,3,1,0,2022-09,8,0.1,-50.19,267.0,935.0,103.0,55.0,139.0,445.0,394.3333333333333
2022-10-01,Gujarat,2W,1137,2022,10,4,1,1,2022-10,9,0.85,754.89,133.0,267.0,935.0,722.0,1039.0,512.3333333333334,463.5
2022-10-01,Gujarat,3W,324,2022,10,4,1,1,2022-10,9,0.24,-71.5,1137.0,133.0,267.0,206.0,297.0,531.3333333333334,483.1666666666667
2022-10-01,Gujarat,4W,162,2022,10,4,1,1,2022-10,9,0.12,-50.0,324.0,1137.0,133.0,103.0,148.0,541.0,493.0
2022-11-01,Gujarat,2W,899,2022,11,4,1,1,2022-11,10,0.67,454.94,162.0,324.0,1137.0,935.0,390.0,461.6666666666667,487.0
